Název souboru,Odkaz,Název,Kategorie
VY_32_INOVACE_37-07.pdf,https://drive.google.com/file/d/1NaT7Cbyh3nK6Hrylbbie7-vtR2CRNkuX/view?usp=drivesdk,Záhlaví a zápatí (šablona),VYT
VY_32_INOVACE_29-09.pdf,https://drive.google.com/file/d/1wEH7Bp4gt2r3YGUBeFx-ROgvPMtua3oA/view?usp=drivesdk,Klávesnice,VYT
VY_32_INOVACE_37-06.pdf,https://drive.google.com/file/d/1MvaSW6cf-6pMxqPMBeBPMPdoVsbmI30f/view?usp=drivesdk,Tvorba stylů,VYT
VY_32_INOVACE_37-05.pdf,https://drive.google.com/file/d/1AxukA9Zm3SjHdFnaeLgDnrDhH9PTQRSG/view?usp=drivesdk,Odrážky a číslování,VYT
VY_32_INOVACE_29-08.pdf,https://drive.google.com/file/d/1RjQZDUGQETjQ_vsn1LMtE-SaJ0-3nvD_/view?usp=drivesdk,Paměťová media,VYT
VY_32_INOVACE_37-04.pdf,https://drive.google.com/file/d/1YJE3c_a5VLCZ-VGdVL6OwRAu6s7iQPLh/view?usp=drivesdk,Ohraničení a stínování,VYT
VY_32_INOVACE_29-06.pdf,https://drive.google.com/file/d/1mut4R9Ggk0X5TkjeYIEDbTqMAifoSAyL/view?usp=drivesdk,Procesor,VYT
VY_32_INOVACE_37-03.pdf,https://drive.google.com/file/d/1ZWMpivjawmMuog0OzZ1dYvBiR9yoeUSW/view?usp=drivesdk,Formát odstavce,VYT
VY_32_INOVACE_29-05.pdf,https://drive.google.com/file/d/18sF6YSBeNmTS7plSKeFyJNlYwyH2Zh3L/view?usp=drivesdk,Porty a sloty,VYT
VY_32_INOVACE_37-02.pdf,https://drive.google.com/file/d/1PG6UMXu2agcNWn-4dlGXe8D1YdtFgTVw/view?usp=drivesdk,Formát písma,VYT
VY_32_INOVACE_29-04.pdf,https://drive.google.com/file/d/1XfEA50RjgZyaEcupKSpxbA0DE9nwDhgK/view?usp=drivesdk,Základní deska,VYT
VY_32_INOVACE_36-20.pdf,https://drive.google.com/file/d/16ux8h-A6wnuOJaTSpTXhWRd4TMfyCZyy/view?usp=drivesdk,SEO analýza a optimalizace webové stránky,VYT
